Rank,Address,NFT_Count,Token_IDs,Reward_VIBE,Share_Percent,Leaf
1,0x07eba7dff730f58e932c5730bad48e757e188fc3,2,"189;310",18020,0.9010%,0xcccb6380af183c2dfcf6596283be86661e96bd88b3088e20123de3a0b3d7101f
2,0x000596b446392533eac8fff0773c66ae57bc1d3f,1,"137",18018,0.9009%,0xcf3c6ed0c7fbb2c353efffa6cc8f9625fa2f1a8ebdc708c6c4911903330e335b
3,0x012c0bce561fbcb733f321e007c9b6d1e27785ed,1,"260",18018,0.9009%,0xdcccd4b9ed95b38bfe20f5a78774aebd997bf719f06897a0a4ddcb9758b13574
4,0x01fb3dfbd0661aa7ad086c01d3d7c9931b9d3dbe,1,"320",18018,0.9009%,0xb57f2eee6655fb20b3737b46ea36659c6900b6d0e8f3e3b777403023f8252a88
5,0x09ed7f2f6dd73c90953bece6bca50c6ad9c4c374,1,"293",18018,0.9009%,0x45b667f1a7172273eb27003ed1db404403022d92f9ebd96527e74e153c532334
6,0x0aba8264321660d2c170bc77808d1f142881bac1,1,"205",18018,0.9009%,0x40e1f4b3a5d3c7c9ee9bb55c598c8024c39398ef7078d19a03aaa877aa553d22
7,0x1761042b43590a755478d1325b6424885e6ab8b5,1,"294",18018,0.9009%,0xa4b2fd46670152e9c57b3d636f268c7abe005c7a0209157c302396f4f9decc3c
8,0x1b64e3f93397eeeb076defb5b922b97dee4d6996,1,"299",18018,0.9009%,0x2525bd6d2511ce1569b5545bbb8681a4183d67e728fa5e23694f4274e59ec382
9,0x1d741c45ec79162b5ed5ac81c0950dd80f83f300,1,"331",18018,0.9009%,0x6aa34d74baa9e182f7833ace4e845a45ce1c3b1fb65b00abad432464f6dcff27
10,0x1e75bbbd34ecf784b5cfacd484ebb30ce01cfaf4,1,"314",18018,0.9009%,0xfd0f39da0bc22c35488cedec3b3197b23d04637d9d3306da3610789ac3039df6
11,0x1f1ec548b66a911e7d56422a729bb47a089fb927,1,"87",18018,0.9009%,0x7c8b01c8616c8c2aa7e6d97167289061592e27c51c7916699f4d8f94c00ea49e
12,0x1fbdfbb325336a2058cffe82fef86d9ac7e9f438,1,"177",18018,0.9009%,0xe3e942ae736712f4c6750a3e7351bd1606dc36d5db6a498655db66270681b3fb
13,0x2211d1d0020daea8039e46cf1367962070d77da9,1,"4",18018,0.9009%,0x98f052807efbf3d4e8df7db85587c6342fa194019a2ea15e21476b8fef7ee92a
14,0x29270c3ca483433e0a6d070db6ead349654b542d,1,"158",18018,0.9009%,0x3ba11b1c48b4597856994a4f72b95ea6a9c8800cb5ae4883852312a7ff51fd3c
15,0x2975f2a48b62266ed835b6003f5bb37482479c1a,1,"65",18018,0.9009%,0x0f86278bfaebdb0a92e3300c2aa9ddde82d8c3e7c63d4f2f5612f216c1150bed
16,0x2c5a2f9996e12af263f4087ef613f4a4bec0b84f,1,"285",18018,0.9009%,0xc4774fb29bece9427dae43174e4199b19bd41f497058b1aa8837980ead2aab69
17,0x2d4e1095a876afacfe1b84bc052758360641aae0,1,"210",18018,0.9009%,0x1204a059218bc540079ed5000682262a4eddbc908dbbcd5933a4e879dffbbbea
18,0x2d8077c1673ce8b66eaa2f234ff68d99573b8891,1,"165",18018,0.9009%,0x42110f1bfbbe08cdd44f2db211b8014dc70b1d6c5a2f7aff47295ccd406cb4f4
19,0x2ed27928f116323742dfa0af99dacd680cd7c495,1,"287",18018,0.9009%,0x2934067b640a9b40bc8661278b00f09aaf8513cc525ae57a1790f253d7e06a07
20,0x309a986f7cde387e48b5b11ac30c896aba173e54,1,"157",18018,0.9009%,0xb19609a8cf59519c754f2d3f08592a541b401b6219100e2551e7e15b85bbc47c
21,0x341322640a06925b554c71da4efb8dd38dc621bf,1,"80",18018,0.9009%,0xa251b93b7c1bf4dee350457bdcc6a4bdd0de54021b777138f1fec9d9a5d1a4b6
22,0x35ae6af9677676e8425a298dc45571f4b78bb047,1,"273",18018,0.9009%,0xa28083021c6e03c7a05a5a3bf0152cd8159df1118f60c9d10166d8cbcba197d0
23,0x35f4b9acd41584df18e88cc7ebfbd2ea1e270f62,1,"40",18018,0.9009%,0xa0401f4cb142b88f83266c8d53cff9e318ea8c1abb0839a0cb9d4beb1586f5e3
